XM_025153410.1	FAM107B
XM_424029.6	FAM107B
XM_015299288.2	FAM107B
XM_015299354.2	FAM107B
XM_015299234.2	FAM107B
XM_025153407.1	FAM107B
XR_003076620.1	LOC112532975
XM_416996.6	HSPA14
NM_001031370.2	SUV39H2
NM_001031594.1	DCLRE1C
XR_003075549.1	MEIG1
NM_001302114.1	MEIG1
XR_003075548.1	MEIG1
XR_003075550.1	MEIG1
XR_003075547.1	MEIG1
XM_015299511.2	TMEM243
NM_001080863.3	DMTF1
XM_015295524.2	DMTF1
XM_025149831.1	DMTF1
XM_416843.6	KIAA1324L
XM_015299810.2	GRM3
XM_004937500.3	GRM3
XM_015299768.2	GRM3
XM_004937499.3	GRM3
XR_003076072.1	LOC112532768
XM_015295302.2	SEMA3D
NM_205373.1	SEMA3D
XM_025146913.1	SEMA3D
XM_015295369.2	SEMA3D
XR_003076641.1	LOC112532981
XM_015295177.2	SEMA3A
NM_204977.1	SEMA3A
NM_204242.1	SEMA3E
XM_015300112.2	PCLO
XR_001470573.2	LOC107055502
XR_003076655.1	LOC107055432
XR_001470526.2	LOC107055432
XR_001470538.2	LOC107055432
XR_003076659.1	LOC107055432
XR_001470510.2	LOC107055432
XR_001470540.2	LOC107055432
XR_001470542.2	LOC107055432
XR_001470547.2	LOC107055432
NM_001177322.3	CACNA2D1
XM_025151444.1	CACNA2D1
XR_003075544.1	CACNA2D1
XM_025151441.1	CACNA2D1
XM_025151437.1	CACNA2D1
XM_025151435.1	CACNA2D1
XM_025151433.1	CACNA2D1
XM_025151432.1	CACNA2D1
XM_025151431.1	CACNA2D1
XM_025151425.1	CACNA2D1
XM_025151421.1	CACNA2D1
XM_025151418.1	CACNA2D1
XM_025151420.1	CACNA2D1
XR_003076662.1	LOC112532984
XR_003076663.1	LOC112532985
XR_003076664.1	LOC112532986
XR_001471309.2	LOC107057089
XR_001470741.2	HGF
XM_015300900.2	HGF
XM_015300944.2	HGF
NM_001030370.3	HGF
XR_003076081.1	LOC112532771
XM_015300792.2	SEMA3C
NM_204243.1	SEMA3C
XM_015301527.2	CD36
XM_015301204.2	CD36
XM_025147445.1	CD36
XM_015301418.2	CD36
XM_025147449.1	CD36
NM_001030731.1	CD36
NM_001267811.1	GNAT3
XM_015301090.2	GNAI1
NM_205403.1	GNAI1
XM_015275750.2	MAGI2
XM_015275749.2	MAGI2
XM_015275748.2	MAGI2
XM_015275751.2	MAGI2
XM_015275740.2	MAGI2
XM_015275742.2	MAGI2
XM_015275741.2	MAGI2
XM_015275744.2	MAGI2
XM_015275739.2	MAGI2
XM_015275745.2	MAGI2
XM_015275747.2	MAGI2
NM_001199540.2	MAGI2
XM_015275746.2	MAGI2
XM_015275737.2	PHTF2
XM_015275732.2	PHTF2
XM_015275735.2	PHTF2
XM_015275736.2	PHTF2
NM_001006226.1	PHTF2
NM_001199477.1	TMEM60
XM_015275731.2	TMEM60
XM_025147376.1	TMEM60
XM_015275730.2	TMEM60
XM_015275758.2	RSBN1L
XM_015275759.2	RSBN1L
XR_001463299.2	LOC107051624
XM_415970.6	PTPN12
XR_003076677.1	LOC112532992
XR_001463301.2	LOC107051625
XR_001463300.2	GSAP
XM_015275765.2	GSAP
XM_004934738.3	GSAP
XM_415969.6	GSAP
XM_015275762.2	CCDC146
XM_015275760.1	CCDC146
XM_015275764.2	CCDC146
XM_015275761.2	CCDC146
XM_015275763.2	CCDC146
